Gemeinde	2020-11-01T09:53:55.000Z	2020-11-02T05:51:10.000Z	2020-11-02T14:58:48.000Z	2020-11-03T05:54:06.000Z	2020-11-03T14:50:35.000Z	2020-11-04T04:53:25.000Z	2020-11-04T14:09:45.000Z	2020-11-05T05:09:49.000Z	2020-11-05T07:09:49.000Z	2020-11-05T15:55:55.000Z	2020-11-06T06:52:43.000Z	2020-11-06T11:01:26.000Z	2020-11-06T13:01:26.000Z	2020-11-07T06:52:05.000Z	2020-11-07T11:35:11.000Z	2020-11-08T06:49:42.000Z	2020-11-08T15:43:48.000Z	2020-11-09T08:49:20.000Z	2020-11-09T10:51:03.000Z	2020-11-09T20:50:56.000Z	2020-11-10T12:33:12.000Z	2020-11-11T06:43:08.000Z	2020-11-12T06:54:21.000Z	2020-11-13T06:54:37.000Z	2020-11-14T08:12:02.000Z	2020-11-15T06:53:40.000Z	2020-11-16T06:42:08.000Z	2020-11-17T07:03:38.000Z	2020-11-18T07:12:50.000Z	2020-11-19T06:42:44.000Z	2020-11-20T07:09:28.000Z	2020-11-21T06:38:04.000Z	2020-11-22T06:43:44.000Z	2020-11-23T06:43:13.000Z	2020-11-24T07:06:10.000Z	2020-11-25T07:15:26.000Z	2020-11-26T06:49:26.000Z	2020-11-27T06:43:16.000Z	2020-11-28T07:09:05.000Z	2020-11-29T07:06:45.000Z	2020-11-30T06:49:30.000Z
Flachgau	976	1083	1081	1102	1114	1230	1206	1320	1320	1311	1449	1448	1448	1452	1511	1636	1665	1813	1813	1745	1747	1679	1665	1721	1683	1701	1737	1876	1933	1852	1751	1705	1768	1757	1516	1421	1449	1489	1521	1501	1512
Anif	27	32	32	30	34	36	36	39	39	39	40	40	40	40	40	40	42	46	46	44	45	46	42	43	40	44	46	52	49	49	47	39	38	38	30	26	26	25	28	28	29
Anthering	19	23	23	24	24	29	29	32	32	32	37	37	37	37	39	46	48	49	49	44	45	37	36	40	40	41	42	50	51	48	46	45	42	46	41	35	34	32	33	31	27
Bergheim	30	33	33	37	37	44	44	48	48	48	53	54	54	55	55	60	62	62	62	60	61	83	84	87	89	92	105	116	122	140	144	146	159	157	132	143	149	148	149	146	142
Berndorf bei Salzburg	2	4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	6	6	6	8	8	9	11	10	8	8	8	7	5	4	3	4	5	5	6	5	8	9	10	12
Bürmoos	15	16	16	16	16	17	17	24	24	24	28	27	27	26	27	30	30	36	36	34	34	34	36	41	41	36	36	41	41	37	34	33	40	40	38	42	43	43	49	47	48
Dorfbeuern	0	0	0	-1	0	2	2	3	3	3	4	5	5	6	6	8	8	8	8	9	9	10	12	15	18	19	19	23	22	21	19	20	19	17	10	10	10	9	10	10	10
Ebenau	8	10	10	9	9	10	10	10	10	10	9	9	9	9	11	11	11	12	12	11	11	11	10	12	12	12	15	16	16	15	13	13	14	12	7	6	6	10	10	11	11
Elixhausen	16	16	16	17	17	18	18	22	22	22	22	22	22	23	25	25	25	29	29	29	29	26	22	29	36	40	46	53	57	55	56	56	59	56	49	46	45	45	45	41	40
Elsbethen	30	33	33	36	36	36	36	41	41	41	43	43	43	45	46	49	49	51	51	50	51	47	45	41	40	41	40	44	45	44	37	36	38	37	32	30	31	31	31	31	30
