Gemeinde	2020-11-01T09:53:55.000Z	2020-11-02T05:51:10.000Z	2020-11-02T14:58:48.000Z	2020-11-03T05:54:06.000Z	2020-11-03T14:50:35.000Z	2020-11-04T04:53:25.000Z	2020-11-04T14:09:45.000Z	2020-11-05T05:09:49.000Z	2020-11-05T07:09:49.000Z	2020-11-05T15:55:55.000Z	2020-11-06T06:52:43.000Z	2020-11-06T11:01:26.000Z	2020-11-06T13:01:26.000Z	2020-11-07T06:52:05.000Z
Flachgau	799	815	821	863	852	871	895	917	917	927	963	971	971	977
Anif	18	19	19	23	20	20	20	20	20	20	21	21	21	21
Anthering	10	10	10	11	11	11	11	12	12	12	12	12	12	12
Bergheim	52	52	52	53	53	53	53	54	54	54	55	55	55	54
Berndorf bei Salzburg	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Bürmoos	15	16	16	16	16	18	18	19	19	19	19	20	20	21
Dorfbeuern	6	6	6	7	6	6	6	6	6	6	6	6	6	6
Ebenau	5	5	5	6	6	6	6	6	6	6	8	8	8	8
Elixhausen	8	9	9	10	10	10	10	10	10	10	10	10	10	10
Elsbethen	20	20	20	21	21	22	22	22	22	22	23	23	23	23
Eugendorf	31	33	33	34	34	35	40	42	42	42	44	44	44	44
Faistenau	13	13	14	14	14	14	16	17	17	19	21	21	21	21
Fuschl am See	16	17	17	17	17	18	18	19	19	19	21	21	21	21
Göming	14	14	14	14	14	15	15	15	15	15	15	15	15	15
Grödig	31	32	32	32	32	32	32	33	33	33	33	33	33	33
Großgmain	6	6	6	6	6	6	6	6	6	6	6	6	6	6
Hallwang	14	15	15	16	16	16	16	17	17	18	18	19	19	19
Henndorf am Wallersee	48	48	48	50	50	50	50	50	50	51	51	51	51	52
Hintersee	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Hof bei Salzburg	17	18	18	18	18	19	20	22	22	22	23	23	23	23
Köstendorf	5	5	5	5	5	6	7	7	7	7	8	8	8	8
Koppl	33	34	34	35	34	35	37	38	38	38	39	41	41	41
Lamprechtshausen	15	15	15	15	15	15	16	16	16	16	16	16	16	16
Mattsee	3	3	4	5	5	6	7	7	7	7	7	8	8	8
Neumarkt am Wallersee	13	13	13	15	15	15	15	15	15	18	20	20	20	20
Nußdorf am Haunsberg	18	18	18	18	18	18	18	18	18	18	18	18	18	18
Oberndorf bei Salzburg	11	11	11	13	13	14	14	14	14	14	15	15	15	17
Obertrum am See	15	15	16	17	16	16	18	20	20	21	22	22	22	22
Plainfeld	15	15	15	15	15	15	15	16	16	16	16	16	16	16
Sankt Georgen bei Salzburg	28	28	28	28	28	28	28	28	28	28	29	29	29	29
Sankt Gilgen	28	30	30	33	33	33	34	35	35	35	35	35	35	35
Schleedorf	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Seeham	16	16	16	16	16	17	17	17	17	17	17	17	17	17
Straßwalchen	46	46	47	49	49	49	51	52	52	52	55	56	56	56
Strobl	32	32	32	33	33	36	36	37	37	38	43	44	44	44
Thalgau	57	59	60	67	62	63	64	64	64	64	65	65	65	65
Wals-Siezenheim	67	68	69	74	74	75	77	77	77	77	79	79	79	81
Seekirchen am Wallersee	33	34	34	35	35	37	39	40	40	40	44	44	44	45
Flachgau - Nicht zugeordnet	25	25	25	27	27	27	28	31	31	32	34	35	35	35
Pongau	975	1008	1008	1096	1085	1138	1176	1177	1177	1185	1224	1228	1228	1307
Altenmarkt im Pongau	82	84	84	94	88	89	89	89	89	89	90	90	90	92
Bad Hofgastein	58	65	65	70	70	73	76	76	76	76	78	78	78	86
Bad Gastein	27	29	29	32	32	32	34	35	35	36	37	38	38	44
Bischofshofen	106	111	111	124	123	136	137	137	137	139	146	147	147	153
Dorfgastein	12	12	12	12	12	14	14	14	14	14	14	14	14	16
Eben im Pongau	24	24	24	27	26	26	26	26	26	26	27	27	27	27
Filzmoos	23	23	23	24	23	23	23	23	23	23	23	23	23	24
Flachau	81	84	84	86	85	85	85	85	85	85	86	87	87	87
Forstau	12	12	12	15	15	15	15	15	15	15	15	15	15	15
Goldegg	29	29	29	31	30	34	34	34	34	34	35	35	35	36
Großarl	93	93	93	101	101	104	111	111	111	111	114	115	115	121
Hüttau	10	10	10	11	11	12	12	12	12	12	13	13	13	15
Hüttschlag	9	9	9	11	12	12	13	13	13	13	13	13	13	13
Kleinarl	14	14	14	16	15	15	15	15	15	15	16	16	16	18
Mühlbach am Hochkönig	12	12	12	12	12	12	12	12	12	12	12	12	12	13
Pfarrwerfen	12	14	14	15	15	17	18	18	18	19	23	23	23	24
Radstadt	52	55	55	56	56	58	60	60	60	61	62	62	62	67
Sankt Johann im Pongau	104	107	107	123	126	136	148	148	148	149	156	156	156	171
Sankt Martin im Tennengebirge	58	61	61	63	63	64	66	66	66	66	66	66	66	66
Sankt Veit im Pongau	29	29	29	35	32	36	36	36	36	37	39	39	39	43
Schwarzach im Pongau	28	29	29	30	31	32	34	34	34	34	34	34	34	36
Untertauern	9	9	9	10	9	9	9	9	9	9	9	9	9	9
Wagrain	35	36	36	38	38	39	39	39	39	39	42	42	42	44
Werfen	21	21	21	24	24	27	29	29	29	29	31	31	31	35
Werfenweng	5	5	5	5	5	5	5	5	5	5	5	5	5	6
Pongau - Nicht zugeordnet	30	31	31	31	31	33	36	36	36	37	38	38	38	46
Tennengau	763	787	795	828	827	858	882	882	882	883	914	914	914	956
Abtenau	62	66	66	67	67	70	78	78	78	78	81	81	81	91
Adnet	60	61	62	67	66	69	69	69	69	69	72	72	72	77
Annaberg-Lungötz	6	8	8	8	8	8	8	8	8	8	8	8	8	9
Golling an der Salzach	64	67	68	69	69	70	73	73	73	73	75	75	75	76
Hallein	165	175	178	185	185	192	200	200	200	200	212	212	212	221
Krispl	16	16	16	18	18	18	18	18	18	18	18	18	18	19
Kuchl	237	239	241	249	249	257	259	259	259	260	264	264	264	271
Oberalm	28	29	29	32	32	34	35	35	35	35	37	37	37	39
Puch bei Hallein	41	41	42	45	45	48	49	49	49	49	49	49	49	51
Rußbach am Pass Gschütt	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sankt Koloman	29	29	29	30	30	31	32	32	32	32	33	33	33	34
Scheffau am Tennengebirge	15	15	15	15	15	16	16	16	16	16	17	17	17	18
Bad Vigaun	27	28	28	30	30	32	32	32	32	32	34	34	34	35
Tennengau - Nicht zugeordnet	12	12	12	12	12	12	12	12	12	12	13	13	13	14
Salzburg Stadt	825	855	855	905	902	938	938	986	986	986	986	986	986	1030
Stadt Salzburg - Nicht zugeordnet	37	38	38	46	46	48	48	50	50	50	50	50	50	50
Lungau	93	100	100	112	112	121	129	147	147	149	153	154	154	159
Göriach	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lessach	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mariapfarr	22	22	22	22	22	22	22	24	24	24	25	26	26	26
Mauterndorf	5	5	5	5	5	5	5	5	5	5	6	6	6	6
Muhr	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramingstein	2	2	2	2	2	2	2	4	4	4	5	5	5	5
Sankt Andrä im Lungau	0	0	0	1	1	3	4	5	5	5	5	5	5	5
Sankt Margarethen im Lungau	2	2	2	2	2	2	4	4	4	4	4	4	4	4
Sankt Michael im Lungau	15	16	16	21	20	21	22	26	26	26	26	26	26	27
Tamsweg	20	23	23	28	29	30	31	36	36	36	36	36	36	39
Thomatal	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Tweng	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Unternberg	2	2	2	2	2	2	2	2	2	2	2	2	2	3
Weißpriach	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Zederhaus	9	10	10	11	11	16	19	22	22	22	22	22	22	22
Lungau - Nicht zugeordnet	8	10	10	10	10	10	10	11	11	13	14	14	14	14
Pinzgau	559	559	559	574	565	596	596	596	596	614	613	649	649	704
Bramberg am Wildkogel	5	5	5	5	5	5	5	5	5	5	5	5	5	6
Bruck an der Glocknerstraße	38	38	38	39	39	40	40	40	40	43	43	43	43	47
Dienten am Hochkönig	0	0	0	0	0	1	1	1	1	1	1	2	2	3
Fusch an der Glocknerstraße	6	6	6	6	6	6	6	6	6	6	6	6	6	6
Hollersbach	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Kaprun	21	21	21	21	21	22	22	22	22	22	22	27	27	29
