Gemeinde,2020-01-11T09:53:55.000Z,2020-02-11T05:51:10.000Z,2020-02-11T14:58:48.000Z,2020-03-11T05:54:06.000Z,2020-03-11T14:50:35.000Z,2020-04-11T04:53:25.000Z,2020-04-11T14:09:45.000Z,2020-05-11T07:09:49.000Z,2020-05-11T15:55:55.000Z
Flachgau / Flachgau,976,1083,1081,1102,1114,1230,1206,1320,1311
Flachgau / Anif,27,32,32,30,34,36,36,39,39
Flachgau / Anthering,19,23,23,24,24,29,29,32,32
Flachgau / Bergheim,30,33,33,37,37,44,44,48,48
Flachgau / Berndorf bei Salzburg,2,4,4,5,5,5,5,5,5
Flachgau / Bürmoos,15,16,16,16,16,17,17,24,24
Flachgau / Dorfbeuern,0,0,0,-1,0,2,2,3,3
Flachgau / Ebenau,8,10,10,9,9,10,10,10,10
Flachgau / Elixhausen,16,16,16,17,17,18,18,22,22
Flachgau / Elsbethen,30,33,33,36,36,36,36,41,41
Flachgau / Eugendorf,49,54,54,56,56,59,54,58,58
Flachgau / Faistenau,27,31,30,30,30,35,32,37,35
Flachgau / Fuschl am See,26,28,28,28,28,31,31,30,30
Flachgau / Göming,2,2,3,3,3,2,2,2,2
Flachgau / Grödig,23,31,31,33,33,42,42,45,45
Flachgau / Großgmain,10,11,11,12,12,12,12,12,12
Flachgau / Hallwang,14,15,15,17,17,18,19,22,21
Flachgau / Henndorf am Wallersee,36,42,42,41,41,42,42,48,47
Flachgau / Hintersee,9,10,10,9,9,9,9,9,9
Flachgau / Hof bei Salzburg,37,36,37,40,40,41,40,41,41
Flachgau / Köstendorf,42,44,44,46,46,50,49,52,52
Flachgau / Koppl,54,57,57,57,58,63,61,60,60
Flachgau / Lamprechtshausen,10,16,16,18,18,21,20,22,22
Flachgau / Mattsee,14,14,13,13,13,14,13,15,15
Flachgau / Neumarkt am Wallersee,27,31,31,30,30,37,37,41,38
Flachgau / Nußdorf am Haunsberg,4,4,4,5,5,7,7,8,8
Flachgau / Oberndorf bei Salzburg,25,36,36,34,34,36,36,43,43
Flachgau / Obertrum am See,28,34,33,35,36,38,36,34,33
Flachgau / Plainfeld,9,10,10,11,11,12,12,11,11
Flachgau / Sankt Georgen bei Salzburg,22,24,24,25,25,31,31,35,35
Flachgau / Sankt Gilgen,40,40,40,38,38,42,41,42,42
Flachgau / Schleedorf,4,4,4,4,4,8,8,12,12
Flachgau / Seeham,4,7,7,9,9,10,10,12,12
Flachgau / Straßwalchen,63,65,64,62,62,71,69,78,79
