Gemeinde,2020-11-01T09:53:55.000Z,2020-11-02T05:51:10.000Z,2020-11-02T14:58:48.000Z,2020-11-03T05:54:06.000Z,2020-11-03T14:50:35.000Z,2020-11-04T04:53:25.000Z,2020-11-04T14:09:45.000Z,2020-11-05T05:09:49.000Z,2020-11-05T07:09:49.000Z,2020-11-05T15:55:55.000Z,2020-11-06T06:52:43.000Z,2020-11-06T11:01:26.000Z,2020-11-06T13:01:26.000Z
Flachgau,1789,1912,1916,1979,1980,2115,2115,2252,2252,2253,2427,2435,2435
Anif,48,54,54,56,57,59,59,62,62,62,64,64,64
Anthering,29,33,33,35,35,40,40,44,44,44,49,49,49
Bergheim,82,85,85,90,90,97,97,102,102,102,108,109,109
Berndorf bei Salzburg,9,11,11,12,12,12,12,12,12,12,12,12,12
Bürmoos,30,32,32,32,32,35,35,43,43,43,47,47,47
Dorfbeuern,7,7,7,7,7,9,9,10,10,10,11,12,12
Ebenau,13,15,15,15,15,16,16,16,16,16,17,17,17
Elixhausen,24,25,25,27,27,28,28,32,32,32,32,32,32
Elsbethen,50,53,53,57,57,58,58,63,63,63,66,66,66
Eugendorf,80,87,87,90,90,94,94,100,100,100,103,103,103
Faistenau,40,44,44,44,44,49,48,54,54,54,57,57,57
Fuschl am See,42,45,45,45,45,49,49,49,49,49,56,56,56
Göming,16,16,17,17,17,17,17,17,17,17,17,17,17
Grödig,54,63,63,65,65,74,74,78,78,78,88,88,88
Großgmain,16,17,17,18,18,18,18,18,18,18,20,20,20
Hallwang,28,30,30,33,33,34,35,39,39,39,46,46,46
Henndorf am Wallersee,84,90,90,91,91,92,92,98,98,98,102,102,102
Hintersee,12,13,13,12,12,12,12,12,12,12,14,14,14
Hof bei Salzburg,54,54,55,58,58,60,60,63,63,63,73,73,73
Köstendorf,48,50,50,52,52,57,57,60,60,60,62,62,62
Koppl,88,92,92,93,93,99,99,99,99,99,105,105,105
Lamprechtshausen,25,31,31,33,33,36,36,38,38,38,44,44,44
Mattsee,17,17,17,18,18,20,20,22,22,22,26,26,26
Neumarkt am Wallersee,40,44,44,45,45,52,52,56,56,56,60,64,64
Nußdorf am Haunsberg,22,22,22,23,23,25,25,26,26,26,27,27,27
Oberndorf bei Salzburg,36,47,47,47,47,50,50,57,57,57,67,67,67
Obertrum am See,44,50,50,53,53,55,55,55,55,55,61,62,62
Plainfeld,24,25,25,26,26,27,27,27,27,27,30,30,30
Sankt Georgen bei Salzburg,50,52,52,53,53,59,59,63,63,63,65,65,65
Sankt Gilgen,68,70,70,71,71,75,75,77,77,77,81,81,81
Schleedorf,9,9,9,9,9,13,13,17,17,17,17,17,17
