Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z	2020-05-11T07:09:49.000Z	2020-05-11T15:55:55.000Z	2020-06-11T06:52:43.000Z
Flachgau / Flachgau	1789	1912	1916	1979	1980	2115	2115	2252	2253	2427
Flachgau / Anif	48	54	54	56	57	59	59	62	62	64
Flachgau / Anthering	29	33	33	35	35	40	40	44	44	49
Flachgau / Bergheim	82	85	85	90	90	97	97	102	102	108
Flachgau / Berndorf bei Salzburg	9	11	11	12	12	12	12	12	12	12
Flachgau / Bürmoos	30	32	32	32	32	35	35	43	43	47
Flachgau / Dorfbeuern	7	7	7	7	7	9	9	10	10	11
Flachgau / Ebenau	13	15	15	15	15	16	16	16	16	17
Flachgau / Elixhausen	24	25	25	27	27	28	28	32	32	32
Flachgau / Elsbethen	50	53	53	57	57	58	58	63	63	66
Flachgau / Eugendorf	80	87	87	90	90	94	94	100	100	103
Flachgau / Faistenau	40	44	44	44	44	49	48	54	54	57
Flachgau / Fuschl am See	42	45	45	45	45	49	49	49	49	56
Flachgau / Göming	16	16	17	17	17	17	17	17	17	17
Flachgau / Grödig	54	63	63	65	65	74	74	78	78	88
Flachgau / Großgmain	16	17	17	18	18	18	18	18	18	20
Flachgau / Hallwang	28	30	30	33	33	34	35	39	39	46
Flachgau / Henndorf am Wallersee	84	90	90	91	91	92	92	98	98	102
Flachgau / Hintersee	12	13	13	12	12	12	12	12	12	14
Flachgau / Hof bei Salzburg	54	54	55	58	58	60	60	63	63	73
Flachgau / Köstendorf	48	50	50	52	52	57	57	60	60	62
Flachgau / Koppl	88	92	92	93	93	99	99	99	99	105
Flachgau / Lamprechtshausen	25	31	31	33	33	36	36	38	38	44
Flachgau / Mattsee	17	17	17	18	18	20	20	22	22	26
Flachgau / Neumarkt am Wallersee	40	44	44	45	45	52	52	56	56	60
Flachgau / Nußdorf am Haunsberg	22	22	22	23	23	25	25	26	26	27
