Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z
Flachgau / Flachgau	14	14	14	14	14	14	14
Flachgau / Anif	3	3	3	3	3	3	3
Flachgau / Anthering	0	0	0	0	0	0	0
Flachgau / Bergheim	0	0	0	0	0	0	0
Flachgau / Berndorf bei Salzburg	0	0	0	0	0	0	0
Flachgau / Bürmoos	0	0	0	0	0	0	0
Flachgau / Dorfbeuern	1	1	1	1	1	1	1
Flachgau / Ebenau	0	0	0	0	0	0	0
Flachgau / Elixhausen	0	0	0	0	0	0	0
Flachgau / Elsbethen	0	0	0	0	0	0	0
Flachgau / Eugendorf	0	0	0	0	0	0	0
Flachgau / Faistenau	0	0	0	0	0	0	0
Flachgau / Fuschl am See	0	0	0	0	0	0	0
Flachgau / Göming	0	0	0	0	0	0	0
Flachgau / Grödig	0	0	0	0	0	0	0
Flachgau / Großgmain	0	0	0	0	0	0	0
Flachgau / Hallwang	0	0	0	0	0	0	0
Flachgau / Henndorf am Wallersee	0	0	0	0	0	0	0
Flachgau / Hintersee	0	0	0	0	0	0	0
Flachgau / Hof bei Salzburg	0	0	0	0	0	0	0
Flachgau / Köstendorf	1	1	1	1	1	1	1
Flachgau / Koppl	1	1	1	1	1	1	1
Flachgau / Lamprechtshausen	0	0	0	0	0	0	0
Flachgau / Mattsee	0	0	0	0	0	0	0
Flachgau / Neumarkt am Wallersee	0	0	0	0	0	0	0
Flachgau / Nußdorf am Haunsberg	0	0	0	0	0	0	0
Flachgau / Oberndorf bei Salzburg	0	0	0	0	0	0	0
Flachgau / Obertrum am See	1	1	1	1	1	1	1
Flachgau / Plainfeld	0	0	0	0	0	0	0
Flachgau / Sankt Georgen bei Salzburg	0	0	0	0	0	0	0
Flachgau / Sankt Gilgen	0	0	0	0	0	0	0
Flachgau / Schleedorf	0	0	0	0	0	0	0
Flachgau / Seeham	0	0	0	0	0	0	0
Flachgau / Straßwalchen	1	1	1	1	1	1	1
Flachgau / Strobl	0	0	0	0	0	0	0
Flachgau / Thalgau	5	5	5	5	5	5	5
Flachgau / Wals-Siezenheim	1	1	1	1	1	1	1
Flachgau / Seekirchen am Wallersee	0	0	0	0	0	0	0
Flachgau / Flachgau - Nicht zugeordnet	0	0	0	0	0	0	0
Pongau / Pongau	18	18	18	18	18	18	18
Pongau / Altenmarkt im Pongau	6	6	6	6	6	6	6
